attribute_id,type,reversed_attribute_id,multi,regexp,readonly,hovertext
allow_from_reverse,reverse,allow_from,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,true,
allow_to_reverse,reverse,allow_to,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,true,
vlan_interface_of,reverse,vlan_interfaces,false,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,true,
monitoring_workers,reverse,monitoring_queues,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,true,
rack_height,number,,false,\A[0-9]+\Z,false,
no_logging,boolean,,false,\A(true|false)\Z,false,To disable logging of traffic on firewall
gateway_type,string,,false,\A.*\Z,false,
vrrp_id,number,,false,\A(0|[1-9][0-9]*)\Z,false,This is VHID for CARP or VRID for VRRP.
internal_gateway_vhid,number,,false,\A(0|[1-9][0-9]*)\Z,false,
table_priority,number,,false,\A(0|[1-9][0-9]*)\Z,false,
network_zones,string,,true,\A.*\Z,false,"A zone defining routing and firewall rules, a kind of sub-datacenter. It is a multi attribute for ""network_zone"""
allow_to,relation,,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,true,If set on any server in a segment it will block all access from servers in this segment to the internet unless they are explicitly given a value here.
backup_pool,relation,,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,false,The name of another LB Pool to which the traffic for this one should be redirected once there is no active node left.
protocol_port,string,,true,\A((any|esp|ah)|((tcp|udp)([0-9]+([lt]+)?|[0-9]+(-[0-9]+)?(_[0-9]+)?))|((ping)|((tcp|udp)([0-9]+t?(-[0-9]+)?))))\Z,true,Ports and protocols to be forwarded to Nodes belonging to this LB Pool.
serial_number,string,,false,\A[a-zA-Z0-9\-]+\Z,false,"A unique string identifying hardware, like:
- Dell ServiceTag
- Memory module serial number
- Disk WWN address"
ipmi,relation,,false,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,false,
internal_gateway,relation,,false,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,false,
sg_allow_to,relation,,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,false,
switchports,string,,true,\A.*\Z,false,Switchports attribute is used by Foreman to configure switches. That includes creating proper LAGGs and assigning VLANs to them. 
vlan_networks,relation,,true,\A(\*\.)?([a-z0-9]+[\.\-])*[a-z0-9]+\Z,false,
